"combo_id","gamma","fc","tau","chunk_id","sim_global","true_late","n_cov","n_rand","host","cpu_model","p1","reject1","covered1","nint1","width1","inf1","p1c","reject1c","covered1c","nint1c","width1c","inf1c","rt1","p2","reject2","covered2","nint2","width2","inf2","p2c","reject2c","covered2c","nint2c","width2c","inf2c","rt2","p3","reject3","covered3","nint3","width3","inf3","p3c","reject3c","covered3c","nint3c","width3c","inf3c","rt3","hausdorff","flag_diff","hausdorff_cov","flag_diff_cov"
5,0.5,0.5,0.5,3,21,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.361638361638362,0,1,1,1.81237628454228,0,0.447552447552448,0,1,1,1.86436769880886,0,776.639,0.361638361638362,0,1,1,1.81237628454228,0,0.447552447552448,0,1,1,1.86436769880886,0,19.461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
5,0.5,0.5,0.5,3,22,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.00899100899100899,1,1,1,1.70715460128928,0,0.013986013986014,1,1,1,1.7860771303373,0,770.28,0.00899100899100899,1,1,1,1.70715460128928,0,0.013986013986014,1,1,1,1.7860771303373,0,19.8999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
5,0.5,0.5,0.5,3,23,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.002997002997003,1,1,1,1.34222421762358,0,0.003996003996004,1,1,1,1.32194275631058,0,771.979,0.002997002997003,1,1,1,1.34222421762358,0,0.003996003996004,1,1,1,1.32194275631058,0,19.4160000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
5,0.5,0.5,0.5,3,24,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.0629370629370629,0,1,1,1.49810511717429,0,0.046953046953047,1,1,1,1.58445017545604,0,752.797,0.0629370629370629,0,1,1,1.49810511717429,0,0.046953046953047,1,1,1,1.58445017545604,0,19.6279999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
5,0.5,0.5,0.5,3,25,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.138861138861139,0,1,1,1.62787279848222,0,0.126873126873127,0,1,1,1.63017623207628,0,756.067,0.138861138861139,0,1,1,1.62787279848222,0,0.126873126873127,0,1,1,1.63017623207628,0,20.0040000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
5,0.5,0.5,0.5,3,26,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.032967032967033,1,1,1,2.61179759307429,0,0.03996003996004,1,1,1,2.65649579742243,0,755.091,0.032967032967033,1,1,1,2.61179759307429,0,0.03996003996004,1,1,1,2.65649579742243,0,19.4269999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
5,0.5,0.5,0.5,3,27,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.0769230769230769,0,1,1,1.46155864032397,0,0.142857142857143,0,1,1,1.44095612581753,0,771.527,0.0769230769230769,0,1,1,1.46155864032397,0,0.142857142857143,0,1,1,1.44095612581753,0,19.7950000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
5,0.5,0.5,0.5,3,28,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.37962037962038,0,1,1,1.76783347442396,0,0.324675324675325,0,1,1,1.7529449021814,0,772.861,0.37962037962038,0,1,1,1.76783347442396,0,0.324675324675325,0,1,1,1.7529449021814,0,19.5059999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
5,0.5,0.5,0.5,3,29,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.0859140859140859,0,1,1,1.88076025217707,0,0.0829170829170829,0,1,1,1.90936991792869,0,760.14,0.0859140859140859,0,1,1,1.88076025217707,0,0.0829170829170829,0,1,1,1.90936991792869,0,19.8109999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
5,0.5,0.5,0.5,3,30,0.5,2,1000,"r816u15n03.grace.ycrc.yale.edu","Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz",0.016983016983017,1,1,1,2.54613838813463,0,0.050949050949051,0,1,1,2.45776218936156,0,769.768,0.016983016983017,1,1,1,2.54613838813463,0,0.050949050949051,0,1,1,2.45776218936156,0,19.6629999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
